player_id,name,hof,last_seas,num_hof_teammates,num_seasons,avg_hof_mates_season,g_w_hof_teammates,tot_g,avg_hof_mates_g
4085,Draymond Green,FALSE,2023,3,11,0.2727272727272727,1763,758,2.325857519788918
2501,Dražen Petrović,TRUE,1993,3,4,0.75,163,290,0.5620689655172414
3520,Dwight Howard,FALSE,2022,10,18,0.5555555555555556,973,1242,0.78341384863124
3445,Dwyane Wade,TRUE,2019,10,16,0.625,1661,1054,1.5759013282732448
429,Earl Lloyd,TRUE,1960,7,9,0.7777777777777778,820,560,1.4642857142857142
949,Earl Monroe,TRUE,1980,9,13,0.6923076923076923,2234,926,2.412526997840173
337,Ed Macauley,TRUE,1959,11,10,1.1,1893,641,2.953198127925117
664,Elgin Baylor,TRUE,1972,5,14,0.35714285714285715,1270,846,1.5011820330969268
1101,Elvin Hayes,TRUE,1984,6,16,0.375,1623,1303,1.2455871066768995
559,Frank Ramsey,TRUE,1964,15,9,1.6666666666666667,4396,623,7.056179775280899
848,Gail Goodrich,TRUE,1979,8,14,0.5714285714285714,1452,1031,1.408341416100873
2585,Gary Payton,TRUE,2007,9,17,0.5294117647058824,908,1335,0.6801498127340824
1447,George Gervin,TRUE,1986,4,14,0.2857142857142857,515,1060,0.4858490566037736
1362,George McGinnis,TRUE,1982,8,11,0.7272727272727273,1155,842,1.3717339667458432
246,George Mikan,TRUE,1956,4,7,0.5714285714285714,1440,439,3.2801822323462413
528,George Yardley,TRUE,1960,11,7,1.5714285714285714,1359,472,2.8792372881355934
4164,Giannis Antetokounmpo,FALSE,2023,1,10,0.1,3,719,0.004172461752433936
2863,Grant Hill,TRUE,2013,11,18,0.6111111111111112,1343,1026,1.3089668615984404
797,Gus Johnson,TRUE,1973,10,10,1,1103,631,1.7480190174326466
665,Guy Rodgers,TRUE,1970,12,12,1,2183,892,2.447309417040359
2176,Hakeem Olajuwon,TRUE,2002,5,18,0.2777777777777778,728,1238,0.5880452342487884
666,Hal Greer,TRUE,1973,7,15,0.4666666666666667,2641,1122,2.3538324420677363
248,Harry Gallatin,TRUE,1958,7,10,0.7,1941,682,2.846041055718475
2003,Isiah Thomas,TRUE,1994,3,13,0.23076923076923078,1551,979,1.5842696629213484
1755,Jack Sikma,TRUE,1991,5,14,0.35714285714285715,615,1107,0.5555555555555556
596,Jack Twyman,TRUE,1966,6,11,0.5454545454545454,1680,823,2.0413122721749697
1587,Jamaal Wilkes,TRUE,1986,10,12,0.8333333333333334,2168,828,2.6183574879227054
3880,James Harden,FALSE,2023,6,14,0.42857142857142855,1016,1000,1.016
2067,James Worthy,TRUE,1994,5,12,0.4166666666666667,2221,926,2.398488120950324
2870,Jason Kidd,TRUE,2013,8,19,0.42105263157894735,1286,1391,0.9245147375988497
801,Jerry Lucas,TRUE,1974,11,11,1,2254,829,2.7189384800965017
710,Jerry West,TRUE,1974,4,14,0.2857142857142857,1548,932,1.6609442060085837
261,Jim Pollard,TRUE,1955,4,7,0.5714285714285714,1481,438,3.3812785388127855
4023,Jimmy Butler,FALSE,2023,4,12,0.3333333333333333,345,754,0.45755968169761274
1197,Jo Jo White,TRUE,1981,9,12,0.75,2286,837,2.7311827956989245
2248,Joe Dumars,TRUE,1999,4,14,0.2857142857142857,1878,1018,1.8447937131630647
99,Joe Fulks,TRUE,1954,3,8,0.375,470,489,0.9611451942740287
778,John Havlicek,TRUE,1978,15,16,0.9375,5573,1270,4.388188976377953
2183,John Stockton,TRUE,2003,2,19,0.10526315789473684,1725,1504,1.146941489361702
1381,Julius Erving,TRUE,1987,8,16,0.5,2297,1243,1.8479485116653258
671,K.C. Jones,TRUE,1967,12,9,1.3333333333333333,4567,676,6.755917159763314
1204,Kareem Abdul-Jabbar,TRUE,1989,12,20,0.6,3753,1560,2.4057692307692307
2252,Karl Malone,TRUE,2004,5,19,0.2631578947368421,1845,1476,1.25
4032,Kawhi Leonard,FALSE,2023,8,11,0.7272727272727273,1516,628,2.4140127388535033
3770,Kevin Durant,FALSE,2023,7,15,0.4666666666666667,1707,986,1.731237322515213
2936,Kevin Garnett,TRUE,2016,4,21,0.19047619047619047,1102,1462,0.7537619699042407
3830,Kevin Love,FALSE,2023,6,15,0.4,699,874,0.799771167048055
1938,Kevin McHale,TRUE,1993,6,13,0.46153846153846156,3027,971,3.11740473738414
